avgHourlyAirTemp,avgHourlyHumidity,avgHourlyRainfallRate,avgHourlyBarometricPressure
[-2.81:-276.10702924973344;-7.697614208440484;12.11131224724376;0.17526664179897702;-3.618182588221806;272.326247157353],81.27:274.9811124957374;-461.34979114720534;-3.370050345893609;0.09903788668571373;-2.3748513745620934;273.28454248523786],0.0:-272.8223550992309;14.593869008580185;-13.98032337519892;-1.2495823231937089;1.2282128464098863;272.2301789426334],1009.12:270.0954810903928;467.96851838369565;0.8268049423028758;-1.944016971667582;2.0709555043516876;270.10225705092455]
[-1.87:-267.6531631944738;-16.842762401457748;15.214962794448741;-1.1246857436045266;0.8124124256972323;267.7232361193901],62.3:266.26275283636176;-474.5866148112673;3.857840729657063;0.34148611510777704;-1.0501503927142966;267.47468552285494],0.0:-266.1442325585059;9.455883214972346;-14.663447141266396;4.232507263192613;-0.8579419372958628;267.97723115890324],1009.69:266.86261501814755;479.589337433503;-8.603999424402646;3.371028159967882;0.056474821979520695;268.41454399080476]
[-1.98:-267.6517932823174;-9.170345964938122;9.031858390039005;-2.9880196827098358;0.43325641660443526;268.36504412332187],58.96:267.916925869486;-482.0081252533542;11.836688402454927;-6.512154135531815;-0.18396215151641787;267.9106272684615],0.0:-267.5532844405355;3.0586090339432417;3.934410523778631;-5.763735940755695;-0.711213596203141;267.03521441977244],1009.36:266.89828564079005;481.7178110006374;-4.468795474824737;-0.4481609054670588;-0.5007849788681296;266.16164471773243]
[-1.52:-266.4174466698546;1.0991072564114575;-7.804770682148305;5.3285668738538305;0.29249700689138947;265.98204621484626],57.74:266.3861393169144;-479.3303917710881;-4.9028513477399205;7.681203981606396;1.4623124854083502;266.44358733489884],0.0:-266.780658293485;-6.632678745241577;1.9989320216954032;1.8510756065356992;1.947661823900488;267.615667586595],1010.6:267.4059174370793;475.9230869286058;3.7598027755863157;-6.526654340731149;1.4616094451779396;268.5762377542818]
[-1.37:-268.1081176788813;4.465976141322386;-0.11725032361566368;-7.045407623273926;0.09248565869197312;269.34231382575655],63.68:268.87687163888506;-472.70653861369203;-1.377746560180209;-0.34121592371836096;-0.5217914889145634;269.7504209476201],0.0:-269.76207945664885;-3.380068974364235;0.5655029734642558;5.561313574585331;-2.8024607931385006;269.817792676102],1010.75:270.710563749025;470.6543255969224;-0.19059030462206528;3.721390125398851;-3.7073517708875428;269.56166260416336]
[-1.56:-271.5021462646524;4.628926918165405;-0.890882303177105;-1.646653265662104;-0.673328863652759;268.524083778979],71.27:271.8658761101092;-470.12791098447127;1.993436948114762;-3.105593386221184;2.6253782305374895;268.018813081931],0.0:-271.6818241425377;-1.4842191353438352;1.4495259852789275;-0.9617770472699292;4.5650228982423595;268.1132714416302],1010.35:271.0894822320984;470.65121849768;-4.464717669697562;1.7998811078596466;2.433225012707268;268.8409108193522]
[-1.5:-270.40704190649717;3.410064234491358;-3.7910847270568677;0.9904344629261748;-1.8110283480669922;270.10865628420345],70.96:269.9354856676838;-471.054429218185;6.1240086258394735;-1.582691739796083;-4.474085808225741;272.0117124726836],0.0:-269.8162920186518;-7.30881986649257;7.957555082858445;0.039904813700605946;-3.586851542375589;272.7145035309609],1010.19:270.0422214015152;470.05800239537336;-4.149980466264868;2.353101975849799;-0.7539752400126913;272.6406299335392]
[-1.24:-270.5624914128017;5.33970838694421;-10.259891928755865;0.9368788561595862;1.4520691941629176;271.85372690429085],76.52:271.3465404572488;-467.0498226595106;0.9424744185140108;-2.5772453345528907;3.4406222493261875;270.4174308689745],0.0:-272.3525262424478;-8.414096119396078;11.249851287369623;-3.7560247314027335;2.8255499699462447;270.44724583593086],1010.34:273.4783903391221;462.575908515748;3.258063347486725;-1.715989622611381;1.8831861640118643;270.86044125624284]
[-1.37:-274.58885661267703;7.105034485136144;-10.300236526450249;3.9240158620291163;0.8183781153046472;271.6716646766573],88.48:275.5972034497827;-458.16382379110627;-6.430089851957576;4.700954361022125;0.13320743556371994;272.6425483966953],0.0:-276.4909351368085;-2.093675000091565;5.857191515478776;-0.5134134861320061;-0.3176670599433642;273.5584991674966],1009.67:277.24897483150716;455.5173781751173;7.201895260422811;-3.9340313885130302;-0.8789328370931621;274.5147159585589]
[-2.55:-277.73938989621047;3.3416979074168296;2.5326898969453806;-4.7942463760372735;-1.3547191606117779;275.46396762849724],92.76:277.73774022636235;-455.5649710371975;-1.6444908691797582;-2.5133053510954277;-1.571156318033621;276.31618334914396],0.0:-277.0935006965336;4.287762423462425;-3.608332039120506;1.05997811618384;-1.3942261837689194;276.7483183797768],1010.25:275.90829195362926;457.9627177726077;-3.4785865854540052;4.181730918965394;-1.0492536718834549;276.7250996121351]
[-2.45:-274.5516394018557;-5.240167878990661;-0.19506152578463998;2.020661826010045;-0.7559049534346234;276.27211193405566],85.73:273.4780053021167;-461.34209643087036;0.8670602987085615;-2.2320805906771684;-0.5031286627360101;275.4622400834583],0.0:-272.987888295934;2.4802046540690412;-0.208586764267113;-3.44471441421868;-0.3331453684109053;274.4941301887617],1009.47:273.114798158185;464.08624057417103;-0.1635768243262316;-0.8578636356524947;-0.20584340873971443;273.4962451363624]
[-2.8:-273.6877726358857;-4.56546203523834;0.7224050372648847;2.0859016506864867;-0.08084677341491242;272.7257747565876],85.77:274.4664191267651;-465.1042599113017;0.7083495030596548;3.1250128075875665;0.026093346707694032;272.5483851271817],0.0:-275.2275343658497;0.8538972098552051;-0.3891940576310372;1.6843703504889314;0.10910465903268912;272.9693562041039],1010.3:275.7855672104955;464.1666080625339;-1.9475333054214479;-1.4210417325472227;0.3325694944099745;273.38383027052924]
[-3.01:-276.0109663216093;3.295220411477459;-1.1129928473572297;-3.35964659726335;0.30936916592003394;273.86901618883246],89.52:275.8834420844614;-461.74724472286255;2.906759855333352;-1.7371149215421668;0.1880120144264978;274.02614569018345],0.0:-275.5362118485741;-3.721385559700991;1.9590142254136358;2.616226414792576;0.10327155754170692;274.57908521052724],1008.57:275.21835044820534;458.6536081599529;-4.484568830765641;3.924276297672704;-0.10318969792032473;275.36152362285503]
[-3.09:-275.16110108764235;2.932512610837051;-4.23956926986944;-1.782394193184817;-0.4778281995768801;275.6383801394365],90.43:275.42677543450964;-455.7569253316612;2.2382259157683437;-4.415025789642362;-1.384271548526705;274.3212213195523],0.0:-275.86082720605657;-0.3853164799361366;6.052609906589949;-1.2321366748793658;-1.1094399375716906;272.5351103918538],1009.2:276.206799173174;453.89861912296016;3.9509620866113195;3.4023527357926886;0.7367303651761821;271.0045365162857]
[-2.86:-276.3086274213619;-2.7856400617912414;-2.7611840920077735;5.042077298578696;2.8611409642239827;271.09223331235825],91.29:276.2269131807799;-453.81302951769067;-9.138089713460214;2.004845110299894;3.152211572032961;272.85714936803816],0.0:-276.1456049061736;9.31645015217265;-7.005822906211628;-2.415945213877197;1.8414646672434016;274.40945820684635],1008.23:276.1300027470944;455.90991623928596;7.839810834807772;-5.971136001841432;-1.0152612081076966;275.336667388761]
[-1.62:-275.95840318905874;-7.57530103591148;12.46217944051483;-1.9803294115417294;-3.8318799570238546;275.26373415302095],86.14:275.2210664447148;-459.9838790560955;-4.561610279886731;6.062313660189938;-4.592392322037105;273.99450155311456],0.0:-273.6554926353464;12.137041514076856;-14.476513438645314;7.20625072871505;-3.252915679772482;272.04162951097226],1007.91:271.45286338428883;465.11433214920083;-0.11717776632835086;1.114611478974795;0.13291372424230286;270.2124570296215]
[-2.08:-269.2518713598297;-13.63486151481041;14.793291853380772;-6.421187670078924;3.398664435150507;269.0359642561878],68.58:267.78039364297047;-469.9606688936391;5.155617002052322;-8.25436131345081;5.268435199466591;268.5905843626005],0.0:-267.4084934241709;7.521693612105736;-13.06503544523849;0.9147832060837349;3.1727827324834403;268.86426931873655],1008.04:267.9561429122656;473.36301969330174;-9.301670670403741;8.120550233346243;-1.4954910176459015;269.397448849136]
[-2.6:-268.87692387464426;-9.498718447973033;7.451320873675117;3.347729541624209;-4.999177177406414;269.97576908472433],65.57:269.6294083427082;-474.8865871653976;8.867660073026808;-4.5526656940858805;-3.8681654939878793;270.38034993773636],0.0:-269.9381819599107;7.14358700888863;-0.6535577667028556;-6.482853622548992;0.022472060510303926;269.9085342797636],1009.45:269.8034082501714;474.94983748917434;-5.628188257993472;-1.685776125865885;3.4696917234316493;268.541026921082]
[-1.53:-269.3504857661062;-2.070550258191645;-3.474286339956083;2.8903955171565445;3.612003001251044;266.8629238458464],63.26:268.7009217276024;-474.4657498969592;-1.353692387633184;3.7301873653287902;-0.13496878353587838;266.7833019751971],0.0:-267.95514370674306;1.8249355962138907;0.36795034104223;0.045671604860589854;-2.333327412203176;268.0499135768295],1008.9:267.2379191887086;474.26350473877767;0.8922873995981722;-1.6646363751827098;-1.8297673087321193;270.0006923568304]
[-0.55:-266.7053894795274;-2.9604255863871742;1.3175153245869682;-1.4945282690508979;1.0927009253528048;268.2001270850257],58.61:266.47659051357493;-474.6775668258542;1.2145735217786255;-0.26181962473844056;0.6739502870387313;265.1842721282004],0.0:-266.5495240774664;1.670683910913226;-0.1894246299902998;0.0563070704244141;-0.4362856021950749;265.44824332831416],1009.8:266.78953175268805;475.5241068410063;0.08595187964394413;0.27796493687820534;-0.060560539113177214;267.1830051288966]
[0.07:-267.0111157084608;-2.532560349928417;0.6951781510816009;0.08050087847776877;0.38854588539234347;268.4494511434375],57.46:267.08754702667306;-476.39545795794083;-1.934507186864006;0.15615124879504166;0.0035394738415077676;268.54272739549526],0.0:-267.0042678959054;2.8468038230081447;-2.1877284048244565;-0.40982680202522836;-1.0016838967430188;267.75670317648996],1010.46:266.8294092816857;477.0186101966599;2.009538083475043;-0.6957148977176004;-0.9041244522677275;266.2022817881648]
[0.94:-266.64024021284007;-1.4416464540672962;3.549700770141218;0.10536779998865986;0.14655488433477992;265.2202632124427],55.41:266.4630588132149;-477.4423681226213;-1.005196610134328;0.7116061179161702;1.4822886337689902;265.2006111678555],0.0:-266.26004677593687;2.419109515868911;-4.206689471602569;0.16688134931078635;1.7706444928964111;266.1101008894633],1010.4:265.96136114055577;477.9699802624702;-0.49339696164521163;-0.5527739795784996;0.4316658652755372;267.0831636729221]
[1.73:-265.51556967051357;-1.6722851062589257;3.952301402999988;-0.44908828058262157;-1.7631299246762435;267.1777715790314],51.8:264.92663478165537;-478.9093891411492;1.8201567234281628;0.4088162957147654;-2.692232734081051;266.24601407443197],0.0:-264.26165057411475;1.8042701790311355;-2.83496566502862;0.8402623857428769;-1.0246314092600883;265.4767150836295],1008.62:263.63388527176363;480.29733637142067;-2.2944077392178333;-0.23487920513406108;2.0469032474835585;265.171162053684]
[1.9:-263.1708089329369;-2.788506932539633;1.2467190729617015;-2.059995100287182;3.321804396279596;265.35078749652234],47.61:262.97043996973326;-481.7634861674734;1.4075784876348894;-2.2162293895631913;1.8997884843366533;265.3119086153318],0.0:-263.05124852818733;-0.07664325899631308;0.10688358190191868;-1.474021696275585;-0.772083637435172;265.26711353899253],1008.29:263.31536551541626;482.6470791946919;0.03717391193543562;-0.08664637205857906;-2.7897775120217663;265.1668052620367]
[1.27:-263.55691110919463;1.3319346892486692;-0.5128809308231671;2.577058774645826;-3.5305881876414817;264.9613867637647],46.16:263.54216545024656;-482.3580876802707;-1.5271513511869848;4.404038124466467;-2.547893486741508;264.64692894348616],0.0:-263.1556219877902;-2.7955036401436644;-1.6826448784389105;3.7442141338347965;-0.38356829675525406;264.27312466929317],1008.72:262.54323574930135;480.8133882508219;-1.0587351967068765;0.6638979528120936;1.9056564669612792;263.8525567768103]
[0.55:-262.129201833127;-0.676732725488904;0.0782673731674155;-3.2443789172861237;3.124238001072767;263.39780810166184],45.54:262.4161412852042;-478.67147322059446;2.105203173791633;-6.468255653170364;3.1862101066281125;262.9721743081409],0.0:-263.6341192527487;0.6330767840071587;4.8964050703530715;-6.539920639482823;1.7566570158693215;262.8879010220019],1009.62:265.47513037020707;477.1504762594766;5.816388496715393;-0.37922246007054516;-1.727309195785783;263.28453652945734]
[-0.1:-267.1555325038925;-0.5886210330972688;0.23744736898442476;6.108895189738654;-2.635504133123429;263.93331511139013],51.09:267.82974515014257;-477.45669218055696;-9.393573137971915;7.087034134963242;-1.5383728623392539;264.5618588957624],0.0:-267.09602642635804;10.269141443214153;-9.639013163014324;1.8040551733841617;0.6187755278294738;264.0430674449446],1010.58:265.2380950746916;480.1271156636732;7.311909389749733;-6.627718463640441;1.9258838783841257;262.6047144571418]
