avgHourlyAirTemp,avgHourlyHumidity,avgHourlyRainfallRate,avgHourlyBarometricPressure
[-3.1:-272.0247034575207;-1.697346162716883;-3.0849275586351093;5.880827824782475;-1.6887932931491383;269.5149426472393],88.58:271.9480818620448;-454.49910338665165;-2.1390279188000836;5.464606863577071;-2.7034945677929927;270.5089371476229],0.0:-271.9213142101775;0.8611922398787328;-1.0515497067131432;4.076449821189428;-3.638966352353079;271.67418820817556],996.06:271.9032748010874;454.00370400399805;0.1004728346160173;1.5424254881068697;-3.935049703270726;272.4451725754624]
[-2.77:-271.8431628130594;-0.48275533410176763;0.9143586597858078;-0.5832216089228581;-3.701049775117434;272.92583087141566],88.23:271.703879482631;-453.5644861089296;1.4032132019223627;-1.8146481237595222;-2.678055754474772;273.18009730261053],0.0:-271.48528919223577;0.7958789629778096;1.781450470499982;-2.857210299185634;-1.418387982704856;273.1835580406485],994.84:271.2300949903232;453.3075303164432;2.0490396715835253;-3.6359134623056995;-1.022551050972926;272.9117995349288]
[-2.54:-271.0038092979712;-1.10746969549146;2.1679075429099366;-4.211242774666206;-0.4870680876861606;272.10168231290515],86.99:270.85601129614963;-453.23730031620494;1.8575185343858185;-4.2633638757187144;-0.02976236118953024;271.80689672257773],0.0:-270.7874120264888;1.2147918090971643;1.4274052854120352;-4.314517795726133;0.29276106263332535;272.1669716650725],993.78:270.75000832668377;453.3028997180815;0.8480673231746554;-4.050990551584574;0.5860807399950528;272.3439344436496]
[-2.57:-270.68343507770464;-1.45733695710814;0.4088140192472476;-3.595562406064757;0.8745339240971102;271.8829864975331],86.19:270.5581816563746;-453.443657611385;-0.07799074053059968;-2.908796503281392;1.1558790739266374;270.90638412489574],0.0:-270.3903715905167;1.6732932558252855;-0.38211674309182503;-2.40528337985577;1.3894503394871554;270.1150281181518],992.71:270.2192436024187;453.6040581389806;-0.318581907461275;-1.828532586994761;1.4383145860793651;269.59549816697745]
[-2.27:-270.0687258654939;-1.260510215671161;-0.1942185288638054;-1.2230546639508384;1.3299489368917445;269.146560337088],84.89:269.9240961207721;-453.74195250139155;-0.08654576997039148;-0.7352147156380571;0.9184573239226812;268.6111595423052],0.0:-269.74303187326734;1.3762169736185115;0.035719787067516884;-0.18571696269129656;0.295409110189464;268.22140296508314],991.88:269.4956253303068;453.84548188476936;0.12137936419577022;0.07781930006311111;-0.0985135637753044;268.43820768444033]
[-1.89:-269.2018763316898;-1.3586130779176813;0.16802608264182078;0.4320812978747558;-0.28805839875417616;268.35844042784515],83.27:268.93028286380667;-453.9436153297237;0.329056050209479;0.7162088029156916;-0.391462060000511;267.62952967279233],0.0:-268.7515037419331;0.9421969521643234;0.6857946076373483;0.975252133037165;-0.25875190437208534;266.4070119534664],990.52:268.6828658696726;454.0826304193664;1.0694890788093105;0.7892410906554853;0.008160714043529943;265.8876128274527]
[-1.24:-268.66957303609166;-0.6672135791192488;1.2033769893249309;0.5084821466650066;-0.003188603337687876;266.38811608255867],82.79:268.61687823546765;-454.26670801350645;0.5031977947040457;0.17339906808427605;0.07144104554257012;267.69179186970797],0.0:-268.44764041489486;0.4047532645117542;-0.6613174933085301;-0.1964995991487917;0.21230372941853715;268.68840051342187],989.42:268.1454595223027;454.40452883363656;-1.7724527600004965;-0.15083068312471953;0.18836942255842512;268.6049256646274]
[-1.01:-267.75927736913513;0.1311538419302849;-1.0943026017358328;-0.2167277867455643;-0.21857945914008506;268.14773337482626],81.33:267.3753988128267;-454.319960515973;1.4210025984681285;-0.18428574875060316;-0.32583107085697005;267.3636759242857],0.0:-267.0854295960105;-2.172436889697593;2.0775280559064395;0.12658630985912722;-0.07539815699872093;267.12915027694123],988.24:266.97299863873843;453.8465888508116;-0.5813477667059499;0.5562039011807536;0.413444226335154;267.03211214964]
[-1.29:-267.11119653525054;-0.0765210737336588;-1.8931644235187461;0.6494322816372685;0.4823049820743124;266.65914476879135],82.41:267.54361410244087;-452.956045306839;0.02466221154598436;0.7363965615480383;0.4789201100274819;266.58245232127655],0.0:-268.2447737658284;-1.6717965432005428;1.3457853079363005;0.7399626627291459;0.34379987936178363;267.48702245900176],989.51:269.09513471910486;451.8282525336608;-0.19288282384872069;0.15269943363822525;0.07879308162021648;268.54800305582455]
[-1.67:-269.90747575551325;1.6604479112087063;-0.8777784858667014;-1.1164238447598023;-0.2958244468856937;268.8670546218168],86.87:270.49721167591224;-450.8011668687814;0.7222720426119098;-1.3637427013288104;-0.881064251313032;268.69649010289913],0.0:-270.7499128201789;1.8658531340904858;1.0354049489712192;0.6995829872492834;-0.9027437115586048;268.05181546142654],990.36:270.64710893641995;450.2217606087791;-0.1404550495288961;1.7435663782843878;0.2092002028291386;267.6788189232163]
[-2.29:-270.2513587226616;-0.6418695907219387;-1.7045432901675033;1.221861582263997;1.1973328970368018;267.8885771242502],86.13:269.6794134644649;-450.2919881537048;-2.1228283806650703;-0.8406908868825181;1.168029746581981;268.53806421020545],0.0:-269.08511530038885;2.4366270216822556;-0.2705466121155615;-2.0756394503474147;-0.1537905865287511;269.14846492769834],989.42:268.64400743794636;451.0042157356655;3.6940861892752426;-1.6135015576366072;-1.396398985268099;269.0875911800175]
[-3.1:-268.51272333693976;-5.556069317038208;3.8301283437856437;0.3050616340269169;-1.5649647378740337;268.39856741403946],83.13:268.75565615679375;-452.19143925288824;-3.1727352344666766;2.434234923832396;-0.30921665553419153;267.61350006226303],0.0:-269.27930920192466;5.697696151846827;-5.164732429474573;0.4850619136745572;1.143443254076434;267.11784031180144],991.32:269.83977589270444;453.6374969081129;1.8778065059244575;-2.7166491286959236;1.6677592539667137;267.01381056798743]
[-3.73:-270.1499288879022;-5.139537886103142;5.996834386883169;-2.6710625790809956;1.0414915554245465;267.19220341077863],82.27:270.03449220303753;-455.16358637050905;0.33255614141233014;-0.04809787379237129;-0.2301702512377526;267.3448061510893],0.0:-269.53369103907255;6.5400117956549195;-5.916507683910119;2.7978592233310655;-1.2644698612567367;267.37679756525347],991.74:268.8824561780507;456.6432462511007;-2.417923932540214;3.0748084039249504;-1.6359433635013296;267.19335646296514]
[-4.01:-268.3718966366003;-5.889287581423503;4.972153011127697;-0.7173233049123908;-0.7542314444507081;266.75058595625916],77.86:268.1780460075869;-457.9607399862129;3.917306826919515;-3.1855672094692893;0.715783865178385;266.19517049599744],0.0:-268.2688967826484;4.367230892282123;-2.357350759797038;-0.9844580885810761;1.5786169643114625;265.66485777443296],992.83:268.45098319254487;458.968664362523;-3.059390970763535;2.2791747604271517;0.7314948839304035;265.4590737713382]
[-4.25:-268.51786994120073;-4.024488487950748;0.2217021042875622;3.075777480066403;-0.7185858918626448;265.71346473666017],76.61:268.3897535945089;-459.4975797676306;1.7120941398010185;1.1237333250500945;-1.4745751982552542;266.3565739065259],0.0:-268.14848591686814;2.4877356344126724;1.1657973389223053;-1.8310732011585789;-0.6376299693136622;266.9636561140054],992.57:267.9592604817418;459.4324109608949;0.22949787510307473;-2.5505204674404105;0.2507542348833365;267.24859691481737]
[-4.22:-267.9507237882636;-2.30537415585448;-0.23347172783127362;-1.6642612265647367;0.8497958065948167;267.08403509191925],76.43:268.14117634554464;-458.81957835611615;-0.35201783877727316;-0.3013605498319115;1.2538497708263185;266.50793062835436],0.0:-268.4536645573734;0.7267074670740215;-0.0589281740892367;0.9349148297019815;0.8603150108078815;265.99065542387876],994.18:268.7957070562739;457.93044795411447;0.15635462104301556;1.6939751663752902;-0.03774564565656868;265.64126084784976]
[-4.28:-269.1317511784905;-1.6915401569103778;-0.18788533594031093;1.7041416259194717;-0.4852643083384868;265.5122993537603],78.06:269.4831627284859;-457.208143490151;-0.672723440555639;1.5240393712932785;-0.7226585641756891;265.6563233951031],0.0:-269.8562969251545;3.730349937682945;-0.22440886976408742;1.0972432895493003;-0.8748296157851112;266.1279421834715],995.03:270.1727151151799;457.08340043218004;1.2831981328305764;0.5910062870784862;-0.8864302327672108;266.78611026549817]
[-4.71:-270.2834791032951;-2.9833187544405746;1.7839946700704123;0.0062917275822220176;-0.4430124544813202;267.20952391456444],78.93:270.0749289082909;-457.7405717217949;-0.8616644945024762;-0.26878472740341;0.3337278017623278;267.3923642336475],0.0:-269.5825934777015;4.708066146438625;-2.3028605087590135;-0.43409873884685246;0.5163511568779325;267.0951354219908],994.54:269.0083802878494;458.9807190121902;0.1568299279399572;-0.46112981916388546;0.3804483079643146;266.47475228322]
[-5.72:-268.608905530754;-5.419603721549919;2.270476256434616;-0.329576469539932;-0.13195780958057962;266.4995672749898],74.91:268.53310525064626;-460.29629126912755;0.46608549503329166;-0.3430559073649501;-0.2659343513000241;266.81609078211295],0.0:-268.7396308557069;3.7329712119222904;-1.8987650503475022;-0.26832370978241443;0.06705422404618391;267.1066941798683],996.6:269.0622896873151;461.1406386244338;-0.48403930344381896;-0.14274614671386776;0.14231683421822472;266.8815403041906]
[-6.24:-269.360537387923;-4.739202306115487;1.6639381432263445;-0.0039265373515633695;-0.08625578860804374;266.28598387677175],75.21:269.61573473346505;-461.23557701140317;1.2110736070327608;0.1484976691119318;-0.11414745932999193;265.58441846112345],0.0:-269.8927958362719;4.445567104122517;-0.20006961289006897;-0.0038696222465069985;0.010542511664539705;265.6406254556214],996.76:270.22191382708957;460.7249627622564;-0.7923053922887432;-0.08428345393277153;0.22569814527961535;266.46401411159593]
[-7.2:-270.52706480651716;-3.26234526871977;-1.2682115188911998;-0.24714176575099125;0.24343195506040616;267.8613314048187],76.67:270.6710860655522;-460.08500103100243;-1.719154479812766;-0.619272208841029;-0.26441920940532937;268.6867608635094],0.0:-270.5707578878044;4.865171092230668;-1.2692946807936978;-0.29601898736830373;-0.6091340858356968;267.8800345495714],997.18:270.2746042799077;459.86014793475874;1.087911840484614;0.3650337817724122;-0.466919220119044;266.0592213831955]
[-7.69:-269.93609900966794;-5.282700540981722;1.788913317191795;1.2300430388505066;-0.0727906080595464;264.5826338026669],74.25:269.7080753051545;-460.3844170154525;-0.8741116928548955;1.6700420019955593;0.22193967515698948;263.90847172600036],0.0:-269.64751657214106;6.247766857393998;-1.6013204309412572;1.7500811108013155;0.5935581109211514;262.6574309239658],997.74:269.70321184250963;461.6221118435309;0.9421109413807256;2.027780051690042;0.8164082030786192;262.6283771178101]
[-8.5:-269.78183049546874;-7.528506873916257;1.0672207691104552;2.2330075521796857;1.6202465256815675;263.8898625224133],72.48:269.82380843753697;-463.17544452291975;-1.108456136306834;0.1129922498414504;0.9436559230602198;265.88344404878796],0.0:-269.82570328567874;7.4253177467238345;-0.38874356149986083;-3.0884354783548167;-0.5497804551056725;266.42734503391523],998.01:269.8051663037868;464.442915104187;1.990348293798026;-1.9110039453847139;-2.504912593884365;266.1874868374972]
[-9.84:-269.7561381878624;-6.336258255063257;1.3878203663797748;2.268307940793843;-2.519730102151696;265.1159982379038],70.3:269.64486129876445;-464.88884205781517;-1.541993440078663;4.422922514391849;-1.5371753906952812;264.2002270754328],0.0:-269.458246234282;5.132873633424282;-4.109592043036419;4.359616868587178;0.2358498380108871;263.839497937296],998.93:269.2642884872504;464.3515034815508;-4.659455466784594;3.724541305210528;2.1885339385491953;264.0605882542236]
[-10.62:-269.21640975705685;-6.812593008409834;-4.261697061041942;1.571957259251715;3.2662720893541115;264.8324704779028],68.92:269.46577276554774;-463.2507066033544;-3.321567691469587;-2.037838324366436;2.395928790167672;265.668411063475],0.0:-270.03180871273105;7.691124552231827;1.1837434769636426;-5.355864419076365;0.4052994935365293;266.1075056090754],1000.63:270.7442445114224;462.5219028912892;7.910635699688011;-4.495997916880343;-2.078711701233158;266.02792651571394]
[-10.62:-271.32656502366353;-8.73034272554176;8.466146485344591;-0.8891019333475016;-3.545153763954814;265.40501696116297],70.52:271.5622828405101;-463.20284160159645;-6.045815548490419;5.927424467779332;-2.2424719056106603;264.52142174740806],0.0:-271.4000881988955;14.374610511098325;-10.578759471867437;3.4866760086869304;0.38854837521916186;263.7290127757586],1001.45:270.9108665015783;465.828742085268;2.882062710361721;-3.8663250372501303;2.5775527915648944;263.1171009484773]
[-9.97:-270.1593749389526;-11.55119989156546;11.742824920572087;-6.134900459837255;3.3576531737651187;262.7749971960181],63.37:269.14166740248214;-469.9949520213626;1.7541272638573222;-2.54772070287752;2.3082214050992347;262.7086566528015],0.0:-267.8668944041372;11.929273294564439;-11.158126256723582;3.9816656929733614;0.1394478406402695;262.9746338326827],1002.52:266.49485932916343;474.4222637141014;-5.679388330141656;6.033657699011375;-2.1947576277510494;263.4433652156165]
[-8.84:-265.35552881097794;-12.647179689233297;8.786367356378767;-0.6890855720439486;-2.919860565681241;263.98528728155765],52.86:264.78102034661543;-477.5645739172493;7.770681319598278;-5.686031643601908;-0.9355958338366261;264.49449972847407],0.0:-264.8805185183581;5.469402011970118;-0.7718475977986272;-5.6835764339455785;1.417890763544969;264.44864977458724],1003.77:265.4681973909555;478.42279603338113;-4.82086137582488;-1.8497920455525336;2.615766545568973;263.93389345147176]
[-8.27:-266.21385670281774;-5.560582634327119;-4.785456106608021;3.345140524961399;1.4455215252931595;263.49923339349834],55.06:266.8699663230167;-477.06337003249166;-2.2917259978341544;4.77529237397578;-0.7691477606011365;263.53898509393446],0.0:-267.3691775212659;3.172858619507309;-0.058302828013079955;2.4679939396274335;-2.308644255355914;264.0952720455001],1003.68:267.73776559940325;474.5269795892791;0.729740208106539;-1.4039733103867957;-2.429128311942687;264.51861622554054]
[-7.9:-267.95797838304827;-0.25123324349246445;0.07989826808907749;-3.6545225865735835;-0.7262250027754216;264.6100609478007],58.25:267.94149669472733;-472.21754790775407;0.20317003741976686;-2.7835005568943796;0.8049087065779141;264.3014730259234],0.0:-267.6381955132433;2.501970529019218;0.8170948205482903;-1.155457003331078;1.924657280041447;263.54992988696546],1003.95:267.15540932229896;471.17999968680294;0.7606411896307861;-0.15082145536920777;2.2842938375587316;262.72047741907784]
[-7.56:-266.7476895365196;-4.688346339506211;-0.6289607163362402;0.3963816773368891;1.960437847171684;262.14817706785345],55.93:266.65933491189094;-471.6884044106292;-3.1344703437749617;1.0596262298962915;0.9832980440930736;262.0506155685238],0.0:-266.9412999535706;6.538377167719716;-3.394471679772281;1.7687573241504593;-0.30332478234973714;262.33196192382246],1004.73:267.3935850235936;473.30507760533965;1.909445543019958;1.1113580435659471;-1.885851281362035;262.89638506584294]
[-8.42:-267.6830107135005;-6.900600036385413;4.560420885041213;-0.11218821173852245;-1.9543777593409244;263.6697558359241],54.67:267.55069048353994;-475.26241703892555;-0.02352456120959423;-0.911244404120682;-0.294919531250754;263.6114150519666],0.0:-266.9674723457152;8.099095002197402;-4.7545318365111005;-0.7090690329553477;1.5844279145736808;262.74755029841054],1004.44:266.14660918249115;476.87960726022527;-2.0056506701148358;0.709967899367197;1.5071924263356984;261.2022739016956]
[-8.56:-265.4213454946629;-7.934201215407768;3.897152705719905;0.05029971376624204;-0.31397342961505514;261.1620677201995],50.65:265.07042557082127;-477.80178922198684;3.3081273722943383;-0.963393061083918;-0.9554657890206185;261.99209512897573],0.0:-265.1929736501006;4.383195367154201;-0.7498413576913734;-0.7964573325404731;-0.45103284481441536;262.8071098179926],1005.16:265.69377626269386;478.02221059581314;-2.44197070886323;1.0751723374499595;0.5492359624284091;262.26157555047786]
[-9.19:-266.3659974032657;-5.825922122172898;-0.849435314316896;1.3121200397007244;0.5576134299297233;261.98162137012497],51.83:267.002716518287;-477.77107449766044;0.3123555183127882;0.1408896859838984;0.1877372858019434;261.9573754892748],0.0:-267.4720443551847;5.88508571556784;0.5163992285144376;-0.9996958822565086;-0.2860408498720088;262.35629614323096],1006.89:267.7366640298076;477.37139751259724;0.705613069946097;-1.3306795485799858;-0.16499497195494767;262.57199990818395]
[-10.69:-267.83484764066543;-5.066823923824018;0.8434203216089704;-1.1656351509361427;-0.12957903522973183;262.66346542904637],52.39:267.84349665346974;-477.1161526981554;0.28625029429571375;-1.1668590900426081;-0.06371365870190276;262.60697849913447],0.0:-267.83670173776727;6.474169537706274;-0.37829861171328083;-0.7128956723700757;0.06990910924234037;262.3838173749019],1007.55:267.8546821207892;477.18208198255286;0.05605235821702059;0.17332600542158466;0.21821385302999446;262.06564367998925]
[-11.6:-267.89756967851224;-6.939510107648118;0.5779870982744107;0.6068484927609318;0.2673496879886892;261.78489450713624],52.21:267.9452256609271;-477.5895190874506;-0.8579945298855134;0.9348151740051363;0.13393715364654366;261.64353562875726],0.0:-267.9875473764597;7.169683007922401;-1.2432004709352589;0.787765452980267;-0.38107987439338775;261.65437926088566],1008.64:268.0431182092835;478.22093255525766;0.8434736354099726;-0.0348266262742461;-0.12840022294066508;261.69570244926376]
[-12.34:-268.150911633752;-7.914403280862757;1.9319788317358877;-0.47290418305471904;0.32425513022319713;261.94198513571035],51.67:268.338504467644;-478.8949053967734;-0.2074929531192201;-0.5630323809304993;0.6784731519099125;262.31845311126926],0.0:-268.5919658339045;7.8814955050115145;-2.2391491955046128;-0.10719835330792352;0.5405947392035907;262.51622313850197],1010.25:268.85582065598675;479.459844005576;-0.7832505118983196;0.369463705382828;-0.19210257228647049;262.54022471723925]
[-13.3:-269.0655178587317;-7.651174176461097;1.9713300389186945;-0.03944133946809922;-0.8985760733161008;262.3833794090583],51.88:269.18467398451526;-479.85333891188577;1.5072458795744381;-0.27536878379323104;-0.8562445396844753;262.1730323712738],0.0:-269.21934968345;8.043271048702763;-0.6401014040762971;0.04777927584153607;-0.18968815859112131;261.9580889215731],1010.81:269.2074825485365;480.09312591433775;-1.1137804294919709;0.24273964210691554;0.5647225993294404;261.81570972518125]
[-14.34:-269.19857859666433;-7.644096179632811;-0.35867204425527055;0.1252903949408839;0.9677564756134713;261.76829994999804],51.58:269.2336361045371;-480.2151099180186;0.16164008461362167;-0.214989117914472;0.8109122333789519;261.8039106134034],0.0:-269.3275677496089;7.39337387917746;0.22992943753814732;-0.27627638787068604;0.11410588315557502;261.86643493760835],1011.14:269.4590759535047;480.2150569119426;6.747762674675917E-4;0.12275050379608296;-0.5973856669281914;261.9398275214173]
[-14.96:-269.57586600487843;-6.9465096845167125;-0.006959212926695352;0.4178493785259062;-0.8565573498594166;262.00804287365537],51.78:269.6180426421438;-480.0477599194427;0.12114612452279395;0.532395820839285;-0.49695409977857;262.0531294317154],0.0:-269.554266675664;6.903696118633633;0.2693249199105494;0.18380364492929474;0.2048464155167644;261.99259557667375],1011.32:269.41557924422455;479.6890877459801;0.4069049898582643;-0.7726886673398303;0.715245119725622;261.8658715675513]
[-15.49:-269.3015887389005;-7.769162068860425;0.4753389668011059;-1.0355566048960068;0.3453839943360144;261.7955844515197],51.84:269.3390246864261;-479.209568176611;0.46267701007277395;-0.5357823492573245;-0.08071556318647255;261.86436439255596],0.0:-269.6064246686733;7.1775001065107915;0.0432447926045148;0.7601559293549129;-0.42612180354718465;262.0516456437502],1011.9:270.07587608727357;478.79091209758974;-0.4286743488892385;1.7418638477756403;-0.5777170043760174;262.29773932062636]
[-15.82:-270.61876321007753;-8.019087078889527;-1.0607743368414677;1.7580519613285368;-0.381276195066538;262.50184885954656],54.05:271.0732098219682;-478.65719247242464;-1.5241478169789304;0.29131202879243845;0.3153926230655478;262.55142581557743],0.0:-271.32366296614816;10.04678559761166;-0.16374848347319537;-1.5561789002402575;0.5442114392791978;262.4525933129707],1013.35:271.3404808506418;478.960100083705;2.5608434908688937;-2.1202963662138403;0.3061270065040379;262.3027449344941]
[-16.27:-271.1648021451919;-9.103815654696291;2.6597389972491543;-0.6486864835744777;-0.2269284744845016;262.21449376069796],52.8:270.8657556550907;-479.697073496642;-2.0152377238239216;2.0109255385144893;-0.581162184539436;262.2167922114002],0.0:-270.5112619325579;10.528142634468878;-3.376604896501884;1.6172710652334525;-0.492413115628479;262.23486624498594],1013.46:270.1701999801445;480.71800444490964;0.9063845280115344;-0.4154722274918572;-0.10297425801724513;262.1838575324435]
[-17.01:-269.92365990768735;-11.783703940278997;3.6180627733549;-1.4184184574363017;0.4236038106387928;262.074115721409],50.12:269.8492668077431;-481.80891773608823;0.4666174572429478;-1.0186122533623672;0.7156552007460678;261.9159905237185],0.0:-269.97542628680105;10.619205274255592;-3.3233982456821747;0.33143357920914346;0.5479006024026696;261.80028507661586],1014.21:270.2463635807004;482.7855852288973;-1.4635984621103726;0.8092906133151989;0.01104607533602836;261.8213129638615]
[-17.45:-270.5404216893853;-10.757455367804141;2.65267635953144;-0.16466963548541097;-0.6348825203042981;261.9947528534478],50.27:270.73898350433484;-483.5319076345172;2.236576797903842;-0.6317973351476598;-0.7064945724294047;262.1646392398556],0.0:-270.79914266615054;9.825774663725667;-0.2825766263434527;-0.5803581263674709;-0.470727233846881;262.30702998898266],1015.55:270.77891603367306;483.97292068189506;-1.6642894381645532;0.23298256944619788;-0.16230461532480195;262.3917747684749]
[-17.84:-270.7962447730514;-9.154558729919017;-1.286747285168036;0.8735480641760881;0.13527938143671558;262.3887233425256],50.25:270.94744245009923;-484.03167486642303;0.1043100744825225;0.7293987449618866;0.05905295848595288;262.44147063839347],0.0:-271.2409604759674;7.998923309875664;0.9090491527906506;-0.1432127692846228;-0.027078597522791514;262.50327938010855],1016.8:271.594398443544;483.6324624482827;0.333682388821299;-1.2697212343322597;0.0013054984873016595;262.50787245519706]
[-18.48:-271.894697937319;-7.390232065217759;-0.6762516694753042;-1.0936066950515446;0.05304877493129956;262.5217395921323],52.17:272.0724298342343;-482.769246617482;0.2570003654465278;0.07964878264031838;0.04509113176752816;262.4850765033933],0.0:-272.1371772810629;7.480918901062694;0.8446521962031881;1.4195681509575768;-0.07470398475077583;262.46674201759026],1016.88:272.15981193209115;481.5931226900624;-0.6788057572604501;1.5069472694660142;-0.22058585435730052;262.51950971999815]
[-18.95:-272.22451511194436;-7.854739216607982;-1.2847414118556004;-0.0025985762733449214;-0.23305091549656837;262.6496452321778],53.88:272.3820728924038;-480.4380966505902;0.25853258035814264;-1.1682941250064722;-0.1182830471090317;262.9640683499438],0.0:-272.62764177133596;8.724655801888076;1.8593147521474034;-1.2465465373716649;0.020487000708720435;263.2697307539634],1017.18:272.9132705667254;479.7303368015847;1.5214362794678689;-0.6581403464191578;0.13238469832455677;263.5407120003166]
[-19.51:-273.1846556011088;-9.85224214910454;-0.4509437046452084;0.15365923126968506;0.09929882636222422;263.7248833972267],55.22:273.41082128864707;-479.8004755618667;-2.5970697954695394;0.48785560039077336;0.06106615729102623;263.65780231100734],0.0:-273.5795515591003;12.347653724128378;-2.5017406317984294;0.49799930316852165;0.043489773042792494;263.1921493905591],1018.28:273.6651457706676;480.69530390953446;1.3257454673922129;-0.0125441239576555;-0.07083277450892911;262.6771817508723]
[-18.8:-273.6064142904651;-10.81073577051967;3.136769090870854;-0.12859681401138257;-0.08605379077976626;262.69503157490504],54.04:273.328289105473;-482.1110029901864;-0.4463364212081138;-0.02160496580827289;0.05119137789794391;263.2394638938318],0.0:-272.8012829079148;12.35678963939435;-3.199900939301201;-0.01247894447107828;0.18160806963482462;263.47526508265787],1018.65:272.0920377469662;483.5175214708737;-0.3941006134742506;-0.059324866903163964;0.38082298003154347;263.11304328250594]
[-17.38:-271.35368362695226;-11.556225545073659;2.8019633480285657;-0.40995978886031237;0.5228665309516002;262.61503908190605],49.48:270.75081310355074;-484.4335606820549;0.8839124618427014;-0.3687230166194052;0.26087870843180094;262.3866794248491],0.0:-270.3761212740834;9.55859440665293;-1.9906845462268508;-0.11287676562660443;0.08522544573254748;262.83586273355144],1017.86:270.2285584365545;484.7076458316562;-0.839249583843376;0.151865918239958;-0.31758255742084623;263.9287619548136]
[-16.7:-270.26160242198455;-11.284664743659334;0.8320948619813264;0.3283368805969351;-0.9305962029941536;264.6164316260598],48.14:270.4370143847532;-484.63322403825276;-0.5207736566356578;0.5255830550365169;-1.3709569977353575;263.702357252834],0.0:-270.71972773325734;10.792409702108785;-0.3739934915903494;0.6301418846894542;-1.1193240075359345;260.79049364558534],1018.0:271.0256652358171;484.80321770640296;0.4755923967996154;1.4297418152495625;1.5206962727454303;258.7450865729853]
[-16.18:-271.1986547929657;-9.709172836188003;1.0543963731933368;-0.9811924089479052;2.2790420573127306;262.3755816075955],47.91:271.0720142501392;-485.75442959053606;1.7895649580410433;-3.349649320722255;-1.351419363197706;265.5039190662758],0.0:-270.58542875163664;11.088244508559825;0.8091010196388986;-1.3426526167685426;-3.406789855555412;263.4375256957619],1017.97:269.86203530908864;487.5818267435378;-1.4189379246513227;3.0599473860377846;-1.5720073189584716;260.45713580494555]
[-15.61:-269.1666892899191;-10.120101633235606;-4.580456207093531;6.631259083511969;2.3090292857303867;259.3169587610058],43.93:268.7553406156246;-489.74060588599775;-7.20174516928347;5.529638589416708;5.159797777305944;261.42757407293396],0.0:-268.7156210836535;6.340300993506162;-7.6264606106239174;0.49531327336905173;4.212268423226776;265.2941990041754],1017.37:268.912852689931;491.17452204891623;-3.5610573970757198;-7.173028812541637;-0.007047966828345409;268.02375943759847]
[-14.95:-269.08135752008957;-3.5036250470291463;4.323609756612745;-9.592021621460221;-5.221426269753353;268.1248207017196],45.89:269.00369937318266;-490.748154180995;13.626817939584166;-3.907803984281885;-7.466278030160942;265.381718882671],0.0:-268.6724100736254;-3.3161937262019308;9.511118497443338;4.639563339224072;-4.582970435686802;262.4208923988466],1015.35:268.34118101124585;487.7956318797103;-14.196011272525372;11.122170851792045;1.8972343937678593;260.3897931360094]
[-14.32:-268.42008780250046;3.1042144829582696;-19.368922954961263;2.3764891797778613;8.212677718957586;259.775629375768],53.02:269.2450875353817;-482.51356474752083;7.614268125140664;-11.799063685000325;9.480098923109939;260.99317384888883],0.0:-270.8446057210999;-8.53032219572816;21.72487658847688;-11.635040272729784;5.594942626449217;263.69014897463177],1014.64:272.8671899319396;475.97733204546375;0.8815527616921122;-0.12581847906693655;-1.5183139598495754;266.55805769982106]
[-14.47:-274.7479375325867;8.477158553329048;-21.00353322702173;11.876162301781065;-8.09223005274895;269.02037995724726],70.11:276.0141747073153;-469.739879153454;-8.391868281901539;12.324690190914495;-10.597713133520411;270.5005956706462],0.0:-276.51681365394177;-1.8612164797354467;17.958469404597434;-2.7163883150937362;-6.657113191737936;269.79306223591146],1012.2:276.4371433049396;465.19536750101395;14.142591585313632;-12.812974849389104;2.4611101695209894;266.776762288601]
[-15.21:-276.10227375372926;2.2031967686326084;-8.836708695352783;-4.801304421187136;10.101247114691276;262.22584298694534],76.01:275.77662456814915;-463.02662920713294;-12.639267693565428;8.07126664758624;7.660862008475575;260.1671436764874],0.0:-275.5737555396251;3.0027879919930456;-0.9529807792856237;12.096020742185724;-0.12369272640475737;261.55162031113673],1010.24:275.49937024080975;463.01160763694884;9.074092813544752;3.4808959741977494;-8.202535628236252;267.3765689627352]
[-15.71:-275.52958200028263;-6.524331874777118;7.375289255516829;-3.405904209807474;-7.842252002901649;270.21678083225214],76.77:275.6379128652442;-464.25767391568246;5.427806596600856;-8.722351058264286;-3.6686392174156457;272.35294472951733],0.0:-275.77408426453087;8.445172405525227;5.0070962784430835;-8.811324237675334;-2.5298022126709303;273.66294203090877],1009.53:275.8574507624111;465.69446460548625;3.587431047307456;-8.205220536851861;-1.4287799911576209;274.0246541128047]
[-16.37:-275.818445906958;-8.224335159208522;1.2385331864934055;-6.696950792395088;-0.18476367951503359;273.31596235158327],77.04:275.6528422743577;-466.53906466494357;-1.4562739398777822;-3.2759073930884037;1.481441154963302;271.1769625685888],0.0:-275.4322696432773;7.739302580699416;-2.3570974986952256;-1.04671513318928;3.3848342157148315;267.71194547874757],1007.74:275.25687764624365;466.51441145576064;-2.7976670487031194;1.5525794471306837;3.9320671027865606;263.2817313967816]
